C1542154	(Swallowing symptoms) or (dysphagia)
C0011168	[D]Difficulty in swallowing
C0011168	[D]Difficulty in swallowing
C0011168	[D]Difficulty in swallowing (context-dependent category)
C0011168	[D]Difficulty in swallowing (context-dependent category)
C0011168	[D]Difficulty in swallowing (situation)
C0011168	[D]Difficulty in swallowing (situation)
C0011168	[D]Dysphagia
C0011168	[D]Dysphagia (context-dependent category)
C0011168	[D]Dysphagia (situation)
C0011168	[D]Dysphagia NOS
C0011168	[D]Dysphagia NOS (context-dependent category)
C0011168	[D]Dysphagia NOS (situation)
C0481706	[V]Problem with swallowing or mastication
C0481706	[V]Problem with swallowing or mastication (context-dependent category)
C0481706	[V]Problem with swallowing or mastication (situation)
C0481706	[V]Problems with swallowing
C0481706	[V]Swallowing/mastication prob
C0566380	Ability to initiate swallowing reflex
C0566380	Ability to initiate swallowing reflex (observable entity)
C0566381	Able to initiate swallowing reflex
C0566381	Able to initiate swallowing reflex (finding)
C0232519	Abnormal swallowing
C4315771	Absent swallowing
C2599650	Any impairments with swallowing
C4048182	aphagia
C0011168	Can't get food down
C0011168	Cannot get food down
C2749723	Chewing/swallowing difficulties
C0558177	Chokes when swallowing
C0558177	Chokes when swallowing (finding)
C0558177	Choking during swallowing
C0743317	chronic difficulty swallowing
C0743317	chronic difficulty swallowing (symptom)
C3845143	Complaints of difficulty or pain with swallowing
C4065851	conversion disorder with swallowing symptoms
C4065851	conversion disorder with swallowing symptoms (diagnosis)
C2138219	cough occurs when swallowing liquids
C2138219	cough occurs when swallowing liquids (symptom)
C0425509	Cough when swallowing
C0425509	Cough when swallowing (finding)
C3845142	Coughing or choking during meals or when swallowing medications
C1822007	Coughing with swallowing
C0425509	Coughs when swallowing
C0011168	Deglutition Disorders
C0011168	Difficulties swallowing
C2749723	Difficulty chewing and swallowing
C0011168	Difficulty in swallowing NOS
C0566384	Difficulty initiating swallowing reflex
C0566384	Difficulty initiating swallowing reflex (finding)
C0566348	Difficulty projecting bolus of food into pharynx
C0566348	Difficulty projecting bolus of food into pharynx (finding)
C0584635	Difficulty swallow soft foods
C0011168	Difficulty swallowing
C0011168	difficulty swallowing (dysphagia)
C0011168	Difficulty swallowing (finding)
C0011168	difficulty swallowing (symptom)
C2183443	difficulty swallowing accompanied by pain
C2183443	difficulty swallowing accompanied by pain (symptom)
C0267070	difficulty swallowing comes and goes
C0267070	difficulty swallowing comes and goes (symptom)
C2315800	difficulty swallowing during oral phase
C2315800	difficulty swallowing during oral phase (symptom)
C0267071	difficulty swallowing during oropharyngeal phase
C0267071	difficulty swallowing during oropharyngeal phase (symptom)
C1955516	difficulty swallowing during pharyngeal phase
C1955516	difficulty swallowing during pharyngeal phase (symptom)
C1955517	difficulty swallowing during pharyngoesophageal phase
C1955517	difficulty swallowing during pharyngoesophageal phase (symptom)
C0426605	Difficulty swallowing fluid
C0426605	Difficulty swallowing fluid (finding)
C2183444	difficulty swallowing followed by regurgitation
C2183444	difficulty swallowing followed by regurgitation (symptom)
C0566362	Difficulty swallowing food
C0566362	Difficulty swallowing food (finding)
C2183445	difficulty swallowing getting worse
C2183445	difficulty swallowing getting worse (symptom)
C2127300	difficulty swallowing hard dry foods
C2127300	difficulty swallowing hard dry foods (symptom)
C0426605	Difficulty swallowing liquids
C2183446	difficulty swallowing liquids more than solids
C2183446	difficulty swallowing liquids more than solids (symptom)
C2127302	difficulty swallowing medium texture foods
C2127302	difficulty swallowing medium texture foods (symptom)
C2127301	difficulty swallowing mixed texture foods
C2127301	difficulty swallowing mixed texture foods (symptom)
C2127301	difficulty swallowing mixed texture foods (symptom)
C4543303	Difficulty swallowing pills
C4543303	Difficulty swallowing pills (finding)
C2127098	difficulty swallowing precipitates coughing
C2127098	difficulty swallowing precipitates coughing (symptom)
C0566379	Difficulty swallowing saliva
C0566379	difficulty swallowing saliva (symptom)
C0584635	Difficulty swallowing soft foods
C0584635	Difficulty swallowing soft foods (finding)
C0584635	difficulty swallowing soft foods (symptom)
C0426606	Difficulty swallowing solids
C0426606	Difficulty swallowing solids (finding)
C2183447	difficulty swallowing solids more than liquids
C2183447	difficulty swallowing solids more than liquids (symptom)
C2183448	difficulty swallowing started recently
C2183448	difficulty swallowing started recently (symptom)
C3694918	difficulty swallowing sudden unexplained change
C3694918	difficulty swallowing sudden unexplained change (symptom)
C0566373	Difficulty swallowing thickened fluid
C0566373	Difficulty swallowing thickened fluid (finding)
C2127299	difficulty swallowing thin liquids
C2127299	difficulty swallowing thin liquids (symptom)
C2183449	difficulty swallowing very hot or cold foods
C2183449	difficulty swallowing very hot or cold foods (symptom)
C0566362	difficulty swallowing with food passing through
C0566362	difficulty swallowing with food passing through (symptom)
C2129179	difficulty swallowing with food passing through after specified time
C2129179	difficulty swallowing with food passing through after specified time (symptom)
C0426607	difficulty swallowing with food sticking
C0426607	difficulty swallowing with food sticking (symptom)
C2129178	difficulty swallowing with food sticking in lower chest
C2126011	difficulty swallowing with food sticking in middle chest
C2126011	difficulty swallowing with food sticking in middle chest (symptom)
C2126010	difficulty swallowing with food sticking in throat
C2126010	difficulty swallowing with food sticking in throat (symptom)
C2183450	difficulty swallowing with nasal regurgitation
C2183450	difficulty swallowing with nasal regurgitation (symptom)
C2129180	difficulty swallowing with relief only after food regurgitated
C2129180	difficulty swallowing with relief only after food regurgitated (symptom)
C2127303	difficulty swallowing worse with some types of foods
C2127303	difficulty swallowing worse with some types of foods (symptom)
C4543817	Dissociative neurological symptom disorder co-occurrent with swallowing symptom
C4543817	Dissociative neurological symptom disorder co-occurrent with swallowing symptom (disorder)
C0566382	Does initiate swallow reflex
C0566382	Does initiate swallowing reflex
C0566382	Does initiate swallowing reflex (finding)
C0566383	Does not initiate swallowing reflex
C0566347	Does not project bolus of food into pharynx
C0566347	Does not project bolus of food into pharynx (finding)
C0566357	Does not swallow
C0566357	Does not swallow (finding)
C0566367	Does not swallow fluid
C0566367	Does not swallow fluid (finding)
C0566361	Does not swallow food
C0566361	Does not swallow food (finding)
C0566367	Does not swallow liquid
C0566378	Does not swallow saliva
C0566378	Does not swallow saliva (finding)
C0584634	Does not swallow soft foods
C0584634	Does not swallow soft foods (finding)
C0584629	Does not swallow solids
C0584629	Does not swallow solids (finding)
C0566372	Does not swallow thick fluid
C0566372	Does not swallow thickened fluid
C0566372	Does not swallow thickened fluid (finding)
C2146157	double swallow for treatment of swallowing dysfunction
C2146157	double swallow for treatment of swallowing dysfunction (treatment)
C0426612	Drink comes down nose
C0426612	Drink comes down nose (finding)
C0011168	Dysphagia
C0011168	dysphagia (diagnosis)
C0011168	Dysphagia (disorder)
C0011168	Dysphagia NOS
C0584635	dysphagia of soft foods
C0566362	dysphagia with food passing through
C0584635	dysphagia with soft foods
C0011168	Dysphagia, NOS
C0011168	Dysphagia, unspecified
C0426604	Ease of swallowing
C0426604	Ease of swallowing (observable entity)
C2146128	effortful or hard swallow for treatment of swallowing dysfunction
C2146128	effortful or hard swallow for treatment of swallowing dysfunction (treatment)
C0481706	Encounter due to problem with swallowing or mastication
C0426611	Food comes down nose
C0426611	Food comes down nose (finding)
C0149695	Food goes down wrong way
C0149695	Food goes down wrong way (finding)
C0426607	Food sticks on swallowing
C0426607	Food sticks on swallowing (disorder)
C4302242	Functional swallowing disorder
C4084787	Have Difficulty Swallowing
C4084787	Have Difficulty Swallowing
C0392678	Impaired swallowing
C4048182	inability to swallow
C4048182	inability to swallow (symptom)
C0566587	Initiation of swallowing reflex
C0566587	Initiation of swallowing reflex (observable entity)
C0566587	Initiation of swallowing reflex (qualifier value)
C2129183	lower chest pain on swallowing
C2129183	lower chest pain on swallowing (symptom)
C0266934	Malocclusion due to abnormal swallowing
C0266934	Malocclusion due to abnormal swallowing (disorder)
C0266934	Malocclusion-abnorm.swallowing
C2012280	neurology goal to improve swallowing
C2012280	neurology goal to improve swallowing (treatment)
C2012280	neurology goals: improve swallowing
C0426600	No problem swallowing
C0426600	No problem swallowing (context-dependent category)
C0426600	No problem swallowing (finding)
C0426600	No problem swallowing (situation)
C4283941	Oral Impairment During Swallowing
C2013493	oral stage bolus uncontrolled piecemeal swallowing
C2013493	oral stage bolus uncontrolled piecemeal swallowing (procedure)
C0232521	Oral stage of swallowing
C2584339	Oral swallowing (function)
C0221150	Pain on swallowing
C0221150	pain on swallowing (symptom)
C0221150	Painful swallowing
C0232522	Pharyngeal stage of swallowing
C0011168	Poor swallowing
