STR	CUI=CUI	PREF=STR
Multiple Sclerosis	CUI=C0026769	PREF=Multiple Sclerosis
MULTIPLE SCLEROSIS AGGRAVATED	CUI=C0235962	PREF=MULTIPLE SCLEROSIS AGGRAVATED
Brain stem multiple sclerosis	CUI=C0270784	PREF=Brain stem multiple sclerosis
Cord multiple sclerosis	CUI=C0338475	PREF=Cord multiple sclerosis
Generalized multiple sclerosis	CUI=C0026769	PREF=Generalized multiple sclerosis
Multiple sclerosis, NOS	CUI=C0026769	PREF=Multiple sclerosis, NOS
Generalised multiple sclerosis	CUI=C0026769	PREF=Generalised multiple sclerosis
MS - Multiple sclerosis	CUI=C0026769	PREF=MS - Multiple sclerosis
Multiple sclerosis NOS	CUI=C0026769	PREF=Multiple sclerosis NOS
Multiple sclerosis of the spinal cord	CUI=C0338475	PREF=Multiple sclerosis of the spinal cord
Multiple sclerosis-spinal cord	CUI=C0338475	PREF=Multiple sclerosis-spinal cord
Acute relapsing multiple sclerosis	CUI=C0393664	PREF=Acute relapsing multiple sclerosis
Chron prog multiple sclerosis	CUI=C0393665	PREF=Chron prog multiple sclerosis
Chronic progressive multiple sclerosis	CUI=C0393665	PREF=Chronic progressive multiple sclerosis
FH: Multiple sclerosis	CUI=C0455388	PREF=FH: Multiple sclerosis
Kurtzke multiple sclerosis rating scale	CUI=C0451246	PREF=Kurtzke multiple sclerosis rating scale
Kurtzke multiple sclerosis scale	CUI=C0451246	PREF=Kurtzke multiple sclerosis scale
Family history: Multiple sclerosis (context-dependent category)	CUI=C0455388	PREF=Family history: Multiple sclerosis (context-dependent category)
Family history: Multiple sclerosis (situation)	CUI=C0455388	PREF=Family history: Multiple sclerosis (situation)
Adult patients have heterogeneous symptoms including some with relapsing-remitting symptoms similar to multiple sclerosis	CUI=C1859904	PREF=Adult patients have heterogeneous symptoms including some with relapsing-remitting symptoms similar to multiple sclerosis
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO	CUI=C1868685	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO
Exacerbation of multiple sclerosis	CUI=C0581392	PREF=Exacerbation of multiple sclerosis
Family history of multiple sclerosis	CUI=C0455388	PREF=Family history of multiple sclerosis
FH multiple sclerosis	CUI=C0455388	PREF=FH multiple sclerosis
Secondary progressive multiple sclerosis	CUI=C0751965	PREF=Secondary progressive multiple sclerosis
Family history: Multiple sclerosis	CUI=C0455388	PREF=Family history: Multiple sclerosis
Secondary progressive multiple sclerosis (disorder)	CUI=C0751965	PREF=Secondary progressive multiple sclerosis (disorder)
Relapsing remitting multiple sclerosis (disorder)	CUI=C0751967	PREF=Relapsing remitting multiple sclerosis (disorder)
Relapsing remitting multiple sclerosis	CUI=C0751967	PREF=Relapsing remitting multiple sclerosis
Primary progressive multiple sclerosis (disorder)	CUI=C0751964	PREF=Primary progressive multiple sclerosis (disorder)
Primary progressive multiple sclerosis	CUI=C0751964	PREF=Primary progressive multiple sclerosis
multiple sclerosis (diagnosis)	CUI=C0026769	PREF=multiple sclerosis (diagnosis)
generalized multiple sclerosis (diagnosis)	CUI=C0026769	PREF=generalized multiple sclerosis (diagnosis)
multiple sclerosis localized to spinal cord	CUI=C0338475	PREF=multiple sclerosis localized to spinal cord
multiple sclerosis localized to brain stem (diagnosis)	CUI=C0270784	PREF=multiple sclerosis localized to brain stem (diagnosis)
multiple sclerosis localized to brain stem	CUI=C0270784	PREF=multiple sclerosis localized to brain stem
multiple sclerosis localized to the brain stem	CUI=C0270784	PREF=multiple sclerosis localized to the brain stem
multiple sclerosis localized to spinal cord (diagnosis)	CUI=C0338475	PREF=multiple sclerosis localized to spinal cord (diagnosis)
multiple sclerosis localized to the spinal cord	CUI=C0338475	PREF=multiple sclerosis localized to the spinal cord
Multiple sclerosis of the brainstem	CUI=C0270784	PREF=Multiple sclerosis of the brainstem
Remittent-progressive multiple sclerosis	CUI=C0393666	PREF=Remittent-progressive multiple sclerosis
Benign multiple sclerosis	CUI=C2585570	PREF=Benign multiple sclerosis
Malignant multiple sclerosis	CUI=C2586221	PREF=Malignant multiple sclerosis
Benign multiple sclerosis (disorder)	CUI=C2585570	PREF=Benign multiple sclerosis (disorder)
Malignant multiple sclerosis (disorder)	CUI=C2586221	PREF=Malignant multiple sclerosis (disorder)
Behaviour related to multiple sclerosis self management	CUI=C2584785	PREF=Behaviour related to multiple sclerosis self management
Behavior related to multiple sclerosis self management (observable entity)	CUI=C2584785	PREF=Behavior related to multiple sclerosis self management (observable entity)
Behavior related to multiple sclerosis self management	CUI=C2584785	PREF=Behavior related to multiple sclerosis self management
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 4	CUI=C2675476	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 4
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 3	CUI=C2675477	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 3
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 2	CUI=C2675478	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 2
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1	CUI=C3888106	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 2 (finding)	CUI=C2675478	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 2 (finding)
Multiple sclerosis panel:-:Pt:Ser+CSF:-	CUI=C2708305	PREF=Multiple sclerosis panel:-:Pt:Ser+CSF:-
Multiple sclerosis in last 7D	CUI=C2737148	PREF=Multiple sclerosis in last 7D
Multiple sclerosis of brain stem	CUI=C0270784	PREF=Multiple sclerosis of brain stem
Disseminated multiple sclerosis	CUI=C2875068	PREF=Disseminated multiple sclerosis
Multiple sclerosis of cord	CUI=C0338475	PREF=Multiple sclerosis of cord
Functional assessment of multiple sclerosis questionnaire - version 4	CUI=C3533265	PREF=Functional assessment of multiple sclerosis questionnaire - version 4
MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 5	CUI=C3553728	PREF=MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 5
Multiple sclerosis in last 7 days [MDSv3]	CUI=C2739383	PREF=Multiple sclerosis in last 7 days [MDSv3]
Multiple sclerosis (MS) exacerbation	CUI=C0581392	PREF=Multiple sclerosis (MS) exacerbation
Multiple sclerosis NOS (disorder)	CUI=C0026769	PREF=Multiple sclerosis NOS (disorder)
Other drugs used for the treatment of multiple sclerosis (product)	CUI=C1276811	PREF=Other drugs used for the treatment of multiple sclerosis (product)
Brain stem multiple sclerosis (disorder)	CUI=C0270784	PREF=Brain stem multiple sclerosis (disorder)
Cord multiple sclerosis (disorder)	CUI=C0338475	PREF=Cord multiple sclerosis (disorder)
Multiple sclerosis (MS) relapsing remitting	CUI=C0751967	PREF=Multiple sclerosis (MS) relapsing remitting
Multiple sclerosis (MS) primary progressive	CUI=C0751964	PREF=Multiple sclerosis (MS) primary progressive
