Action and postural tremor	CUI=C1866747	PREF=Action and postural tremor
Action tremor	CUI=C0234376	PREF=Action tremor
action tremor (physical finding)	CUI=C0234376	PREF=action tremor (physical finding)
Adductor spastic dysphonia of essential voice tremor	CUI=C0264594	PREF=Adductor spastic dysphonia of essential voice tremor
Adductor spastic dysphonia of organic voice tremor	CUI=C0264594	PREF=Adductor spastic dysphonia of organic voice tremor
Adductor spastic dysphonia of organic voice tremor (disorder)	CUI=C0264594	PREF=Adductor spastic dysphonia of organic voice tremor (disorder)
Aspergillus clavatus tremors	CUI=C0275072	PREF=Aspergillus clavatus tremors
Aspergillus clavatus tremors (disorder)	CUI=C0275072	PREF=Aspergillus clavatus tremors (disorder)
automatic speech with secondary jaw tremors	CUI=C2227416	PREF=automatic speech with secondary jaw tremors
automatic speech with secondary jaw tremors (physical finding)	CUI=C2227416	PREF=automatic speech with secondary jaw tremors (physical finding)
Benign essential tremor	CUI=C0270736	PREF=Benign essential tremor
Benign essential tremor (disorder)	CUI=C0270736	PREF=Benign essential tremor (disorder)
Benign essential tremor (disorder) [Ambiguous]	CUI=C0270736	PREF=Benign essential tremor (disorder) [Ambiguous]
bilateral action tremor	CUI=C2196969	PREF=bilateral action tremor
bilateral action tremor (physical finding)	CUI=C2196969	PREF=bilateral action tremor (physical finding)
bilateral tremor	CUI=C2196973	PREF=bilateral tremor
bilateral tremor (physical finding)	CUI=C2196973	PREF=bilateral tremor (physical finding)
bilateral wing beating tremor	CUI=C2196972	PREF=bilateral wing beating tremor
bilateral wing beating tremor (physical finding)	CUI=C2196972	PREF=bilateral wing beating tremor (physical finding)
Cerebellar gangliocytoma manifesting as seizure and tremor	CUI=C1834715	PREF=Cerebellar gangliocytoma manifesting as seizure and tremor
Cerebellar tremor	CUI=C0234376	PREF=Cerebellar tremor
Chin tremor	CUI=C3809829	PREF=Chin tremor
Chronic tremor	CUI=C2919320	PREF=Chronic tremor
