avonex	CUI=C0594372	PREF=avonex
betaseron	CUI=C0284968	PREF=betaseron
extavia	CUI=C2719461	PREF=extavia
glatiramer acetate	CUI=C0289884	PREF=glatiramer acetate
glatiramer	CUI=C0289884	PREF=glatiramer
copaxone	CUI=C0528175	PREF=copaxone
plegridy	CUI=C3848664	PREF=plegridy
peginterferon beta-1a	CUI=C3848580	PREF=peginterferon beta-1a
rebif	CUI=C0752980	PREF=rebif
interferon beta-1a	CUI=C0254119	PREF=interferon beta-1a
aubagio	CUI=C3497721	PREF=aubagio
teriflunomide	CUI=teriflunomide	PREF=teriflunomide
gilenya	CUI=C2938762 	PREF=gilenya
fingolimod	CUI=C1699926	PREF=fingolimod
tecfidera	CUI=C3556178	PREF=tecfidera
dimethyl fumarate	CUI=C0058218	PREF=dimethyl fumarate
lemtrada	CUI=C3860145 	PREF=lemtrada
alemtuzumab	CUI=C3860145	PREF=alemtuzumab
novantrone mitoxantrone	CUI=C0282248	PREF=novantrone mitoxantrone
novantrone	CUI=C0282248	PREF=novantrone
ocrevus	CUI=C4325109	PREF=ocrevus
tysabri	CUI=C1529600	PREF=tysabri
