avonex    C0594372
betaseron    C0284968
glatiramer acetate
extavia    	C2719461 
glatiramer acetate    C0289884
glatiramer    C0289884
copaxone    C0528175
plegridy    C3848664
peginterferon beta-1a    C3848580
rebif    C0752980
interferon beta-1a    C0254119
aubagio    C3497721
teriflunomide    teriflunomide
gilenya    C2938762 
fingolimod    C1699926
tecfidera    C3556178 
dimethyl fumarate    C0058218
lemtrada    C3860145 
alemtuzumab    C3860145
novantrone mitoxantrone    C0282248
novantrone    C0282248
ocrevus    C4325109
tysabri    C1529600
