CUI	STR
C0454625	DAMP - Deficits in attention motor control and perception
C0454625	Deficits in attention motor control and perception
C0454623	Disorders of attention and motor control
C0589522	Oculomotor control
C0589522	Oculomotor control, function
C0454625	Deficits in attention motor control and perception (disorder)
C0454623	Disorders of attention and motor control (disorder)
C0589522	Oculomotor control, function (observable entity)
C0517961	Neurological status: central motor control
C0517961	Central motor control neurological status
C0392702	[D]Abnormal involuntary movement NOS (situation)
C0392702	[D]Abnormal involuntary movements (situation)
C0476217	[D]Head movements abnormal (situation)
C1319208	Ability to make coordinated movements
C1319208	Ability to make coordinated movements (observable entity)
C0564061	Ability to make movements for speech (observable entity)
C0562023	Ability to perform fine motor function
C0562023	Ability to perform fine motor function (observable entity)
C0560424	Ability to perform gross motor function
C0560424	Ability to perform gross motor function (observable entity)
C0563129	Ability to perform oral motor function
C0563129	Ability to perform oral motor function (observable entity)
C0578729	Able to imitate tongue movements (finding)
C0564062	Able to make movements for speech (finding)
C0563323	Able to perform oral motor functions
C0563323	Able to perform oral motor functions (finding)
C4479492	Abnormal hand movements
C0476217	abnormal head movement
C0476217	Abnormal head movements
C0476217	abnormal head movements (diagnosis)
C0392702	Abnormal involuntary movements
C0521588	Abnormal jaw movement
C1842583	Abnormal jerky eye movements
C0231586	Abnormal joint movement
C0558189	Abnormal movement
C0558189	Abnormal movements
C4313685	Absent motor skills
C0454464	Active elbow movements
C0454475	Active foot movements
C0454466	Active hand movements
C0454473	Active knee movements
C0454471	Active lower limb movements
C0231481	Active movement (function)
C0231481	Active movement (observable entity)
C0231481	Active movement, function (observable entity)
C0454467	Active neck movements
C0454470	Active pelvic movements
C0575005	Active range of joint movement absent
C0575005	Active range of joint movement absent (finding)
C0574963	Active range of joint movement increased (finding)
C0575008	Active range of joint movement normal (finding)
C0575002	Active range of joint movement reduced (finding)
C0454462	Active shoulder girdle movements
C0454463	Active shoulder movements
C0454461	Active upper limb movements
C0454465	Active wrist movements
C0454465	Active wrist movements (observable entity)
C0454465	Active wrist movements (qualifier value)
C0454465	Active wrist movements, function (observable entity)
C2127602	ankle catches during movement
C2127602	ankle catches during movement (symptom)
C0576209	Ankle joint - painful on movement
C0576209	Ankle joint - painful on movement (finding)
C1288131	Ankle joint - range of movement - finding
C0576183	Ankle joint - range of movement (observable entity)
C2108795	ankle joint pain feels better after normal movement
C2126211	ankle joint pain with passive movement
C2109031	ankle joint stiffness improves after normal movement
C2088498	ankle pain elicited by motion at initiation of movement
