C0155301	Acute retrobulbar optic neuritis
C0861152	Bilateral optic neuritis
C0861152	Bilateral optic neuritis (disorder)
C1395170	Demyelination in optic neuritis
C4511978	History of optic neuritis
C4511978	History of optic neuritis (situation)
C0029134	ON - Optic neuritis
C0029134	OPTIC NEURITIS
C0029134	optic neuritis (diagnosis)
C0029134	Optic neuritis (disorder)
C0029134	Optic neuritis [dup] (disorder)
C1542677	Optic neuritis &/or retrobulbar neuritis
C1542677	Optic neuritis &/or retrobulbar neuritis (disorder)
C0029134	Optic neuritis NOS
C0029134	Optic neuritis NOS (disorder)
C0029134	Optic neuritis, NOS
C0029681	Other optic neuritis
C3266324	Recurrent optic neuritis
C3266324	Recurrent optic neuritis (disorder)
C0029134	Unspecified optic neuritis
C0029134	Unspecified optic neuritis (disorder)

