STR	CUI=CUI	PREF=STR
Lhermitte's syndrome	CUI=C0152134	PREF=Lhermitte's syndrome
Lhermitte's sign	CUI=C0576702	PREF=Lhermitte's sign
Lhermitte's sign positive	CUI=C0576704	PREF=Lhermitte's sign positive
Lhermitte's sign	CUI=C0576704	PREF=Lhermitte's sign
Lhermitte's phenomenon	CUI=C0576702	PREF=Lhermitte's phenomenon
Lhermitte's phenomenon	CUI=C0576704	PREF=Lhermitte's phenomenon
Barber's chair sign positive (context-dependent category)	CUI=C0576704	PREF=Barber's chair sign positive (context-dependent category)
Barber's chair sign positive (situation)	CUI=C0576704	PREF=Barber's chair sign positive (situation)
Lhermitte's sign positive	CUI=C0576704	PREF=Lhermitte's sign positive
Lhermitte's sign	CUI=C0576704	PREF=Lhermitte's sign
Barber's chair sign positive	CUI=C0576704	PREF=Barber's chair sign positive
Barber's chair sign positive (finding)	CUI=C0576704	PREF=Barber's chair sign positive (finding)
	CUI=	PREF=
