STR	CUI=CUI	PREF=STR
DAMP - Deficits in attention motor control and perception	CUI=C0454625	PREF=DAMP - Deficits in attention motor control and perception
Deficits in attention motor control and perception	CUI=C0454625	PREF=Deficits in attention motor control and perception
Disorders of attention and motor control	CUI=C0454623	PREF=Disorders of attention and motor control
Oculomotor control	CUI=C0589522	PREF=Oculomotor control
Oculomotor control, function	CUI=C0589522	PREF=Oculomotor control, function
Deficits in attention motor control and perception (disorder)	CUI=C0454625	PREF=Deficits in attention motor control and perception (disorder)
Disorders of attention and motor control (disorder)	CUI=C0454623	PREF=Disorders of attention and motor control (disorder)
Oculomotor control, function (observable entity)	CUI=C0589522	PREF=Oculomotor control, function (observable entity)
Neurological status: central motor control	CUI=C0517961	PREF=Neurological status: central motor control
Central motor control neurological status	CUI=C0517961	PREF=Central motor control neurological status
[D]Abnormal involuntary movement NOS (situation)	CUI=C0392702	PREF=[D]Abnormal involuntary movement NOS (situation)
[D]Abnormal involuntary movements (situation)	CUI=C0392702	PREF=[D]Abnormal involuntary movements (situation)
[D]Head movements abnormal (situation)	CUI=C0476217	PREF=[D]Head movements abnormal (situation)
Ability to make coordinated movements	CUI=C1319208	PREF=Ability to make coordinated movements
Ability to make coordinated movements (observable entity)	CUI=C1319208	PREF=Ability to make coordinated movements (observable entity)
Ability to make movements for speech (observable entity)	CUI=C0564061	PREF=Ability to make movements for speech (observable entity)
Ability to perform fine motor function	CUI=C0562023	PREF=Ability to perform fine motor function
Ability to perform fine motor function (observable entity)	CUI=C0562023	PREF=Ability to perform fine motor function (observable entity)
Ability to perform gross motor function	CUI=C0560424	PREF=Ability to perform gross motor function
Ability to perform gross motor function (observable entity)	CUI=C0560424	PREF=Ability to perform gross motor function (observable entity)
Ability to perform oral motor function	CUI=C0563129	PREF=Ability to perform oral motor function
Ability to perform oral motor function (observable entity)	CUI=C0563129	PREF=Ability to perform oral motor function (observable entity)
Able to imitate tongue movements (finding)	CUI=C0578729	PREF=Able to imitate tongue movements (finding)
Able to make movements for speech (finding)	CUI=C0564062	PREF=Able to make movements for speech (finding)
Able to perform oral motor functions	CUI=C0563323	PREF=Able to perform oral motor functions
Able to perform oral motor functions (finding)	CUI=C0563323	PREF=Able to perform oral motor functions (finding)
Abnormal hand movements	CUI=C4479492	PREF=Abnormal hand movements
abnormal head movement	CUI=C0476217	PREF=abnormal head movement
Abnormal head movements	CUI=C0476217	PREF=Abnormal head movements
abnormal head movements (diagnosis)	CUI=C0476217	PREF=abnormal head movements (diagnosis)
Abnormal involuntary movements	CUI=C0392702	PREF=Abnormal involuntary movements
Abnormal jaw movement	CUI=C0521588	PREF=Abnormal jaw movement
Abnormal jerky eye movements	CUI=C1842583	PREF=Abnormal jerky eye movements
Abnormal joint movement	CUI=C0231586	PREF=Abnormal joint movement
Abnormal movement	CUI=C0558189	PREF=Abnormal movement
Abnormal movements	CUI=C0558189	PREF=Abnormal movements
Absent motor skills	CUI=C4313685	PREF=Absent motor skills
Active elbow movements	CUI=C0454464	PREF=Active elbow movements
Active foot movements	CUI=C0454475	PREF=Active foot movements
Active hand movements	CUI=C0454466	PREF=Active hand movements
Active knee movements	CUI=C0454473	PREF=Active knee movements
Active lower limb movements	CUI=C0454471	PREF=Active lower limb movements
Active movement (function)	CUI=C0231481	PREF=Active movement (function)
Active movement (observable entity)	CUI=C0231481	PREF=Active movement (observable entity)
Active movement, function (observable entity)	CUI=C0231481	PREF=Active movement, function (observable entity)
Active neck movements	CUI=C0454467	PREF=Active neck movements
Active pelvic movements	CUI=C0454470	PREF=Active pelvic movements
Active range of joint movement absent	CUI=C0575005	PREF=Active range of joint movement absent
Active range of joint movement absent (finding)	CUI=C0575005	PREF=Active range of joint movement absent (finding)
Active range of joint movement increased (finding)	CUI=C0574963	PREF=Active range of joint movement increased (finding)
Active range of joint movement normal (finding)	CUI=C0575008	PREF=Active range of joint movement normal (finding)
Active range of joint movement reduced (finding)	CUI=C0575002	PREF=Active range of joint movement reduced (finding)
Active shoulder girdle movements	CUI=C0454462	PREF=Active shoulder girdle movements
Active shoulder movements	CUI=C0454463	PREF=Active shoulder movements
