Acute retrobulbar optic neuritis	CUI=C0155301	PREF=Acute retrobulbar optic neuritis
Bilateral optic neuritis	CUI=C0861152	PREF=Bilateral optic neuritis
Bilateral optic neuritis (disorder)	CUI=C0861152	PREF=Bilateral optic neuritis (disorder)
Demyelination in optic neuritis	CUI=C1395170	PREF=Demyelination in optic neuritis
History of optic neuritis	CUI=C4511978	PREF=History of optic neuritis
History of optic neuritis (situation)	CUI=C4511978	PREF=History of optic neuritis (situation)
ON - Optic neuritis	CUI=C0029134	PREF=ON - Optic neuritis
OPTIC NEURITIS	CUI=C0029134	PREF=OPTIC NEURITIS
optic neuritis (diagnosis)	CUI=C0029134	PREF=optic neuritis (diagnosis)
Optic neuritis (disorder)	CUI=C0029134	PREF=Optic neuritis (disorder)
Optic neuritis [dup] (disorder)	CUI=C0029134	PREF=Optic neuritis [dup] (disorder)
Optic neuritis &/or retrobulbar neuritis	CUI=C1542677	PREF=Optic neuritis &/or retrobulbar neuritis
Optic neuritis &/or retrobulbar neuritis (disorder)	CUI=C1542677	PREF=Optic neuritis &/or retrobulbar neuritis (disorder)
Optic neuritis NOS	CUI=C0029134	PREF=Optic neuritis NOS
Optic neuritis NOS (disorder)	CUI=C0029134	PREF=Optic neuritis NOS (disorder)
Optic neuritis, NOS	CUI=C0029134	PREF=Optic neuritis, NOS
Other optic neuritis	CUI=C0029681	PREF=Other optic neuritis
Recurrent optic neuritis	CUI=C3266324	PREF=Recurrent optic neuritis
Recurrent optic neuritis (disorder)	CUI=C3266324	PREF=Recurrent optic neuritis (disorder)
Unspecified optic neuritis	CUI=C0029134	PREF=Unspecified optic neuritis
Unspecified optic neuritis (disorder)	CUI=C0029134	PREF=Unspecified optic neuritis (disorder)
	CUI=	PREF=
