(Swallowing symptoms) or (dysphagia)	CUI=C1542154	PREF=(Swallowing symptoms) or (dysphagia)
[D]Difficulty in swallowing	CUI=C0011168	PREF=[D]Difficulty in swallowing
[D]Difficulty in swallowing	CUI=C0011168	PREF=[D]Difficulty in swallowing
[D]Difficulty in swallowing (context-dependent category)	CUI=C0011168	PREF=[D]Difficulty in swallowing (context-dependent category)
[D]Difficulty in swallowing (context-dependent category)	CUI=C0011168	PREF=[D]Difficulty in swallowing (context-dependent category)
[D]Difficulty in swallowing (situation)	CUI=C0011168	PREF=[D]Difficulty in swallowing (situation)
[D]Difficulty in swallowing (situation)	CUI=C0011168	PREF=[D]Difficulty in swallowing (situation)
[D]Dysphagia	CUI=C0011168	PREF=[D]Dysphagia
[D]Dysphagia (context-dependent category)	CUI=C0011168	PREF=[D]Dysphagia (context-dependent category)
[D]Dysphagia (situation)	CUI=C0011168	PREF=[D]Dysphagia (situation)
[D]Dysphagia NOS	CUI=C0011168	PREF=[D]Dysphagia NOS
[D]Dysphagia NOS (context-dependent category)	CUI=C0011168	PREF=[D]Dysphagia NOS (context-dependent category)
[D]Dysphagia NOS (situation)	CUI=C0011168	PREF=[D]Dysphagia NOS (situation)
[V]Problem with swallowing or mastication	CUI=C0481706	PREF=[V]Problem with swallowing or mastication
[V]Problem with swallowing or mastication (context-dependent category)	CUI=C0481706	PREF=[V]Problem with swallowing or mastication (context-dependent category)
[V]Problem with swallowing or mastication (situation)	CUI=C0481706	PREF=[V]Problem with swallowing or mastication (situation)
[V]Problems with swallowing	CUI=C0481706	PREF=[V]Problems with swallowing
[V]Swallowing/mastication prob	CUI=C0481706	PREF=[V]Swallowing/mastication prob
Ability to initiate swallowing reflex	CUI=C0566380	PREF=Ability to initiate swallowing reflex
Ability to initiate swallowing reflex (observable entity)	CUI=C0566380	PREF=Ability to initiate swallowing reflex (observable entity)
Able to initiate swallowing reflex	CUI=C0566381	PREF=Able to initiate swallowing reflex
Able to initiate swallowing reflex (finding)	CUI=C0566381	PREF=Able to initiate swallowing reflex (finding)
Abnormal swallowing	CUI=C0232519	PREF=Abnormal swallowing
Absent swallowing	CUI=C4315771	PREF=Absent swallowing
Any impairments with swallowing	CUI=C2599650	PREF=Any impairments with swallowing
aphagia	CUI=C4048182	PREF=aphagia
Can't get food down	CUI=C0011168	PREF=Can't get food down
Cannot get food down	CUI=C0011168	PREF=Cannot get food down
Chewing/swallowing difficulties	CUI=C2749723	PREF=Chewing/swallowing difficulties
Chokes when swallowing	CUI=C0558177	PREF=Chokes when swallowing
Chokes when swallowing (finding)	CUI=C0558177	PREF=Chokes when swallowing (finding)
Choking during swallowing	CUI=C0558177	PREF=Choking during swallowing
chronic difficulty swallowing	CUI=C0743317	PREF=chronic difficulty swallowing
chronic difficulty swallowing (symptom)	CUI=C0743317	PREF=chronic difficulty swallowing (symptom)
Complaints of difficulty or pain with swallowing	CUI=C3845143	PREF=Complaints of difficulty or pain with swallowing
conversion disorder with swallowing symptoms	CUI=C4065851	PREF=conversion disorder with swallowing symptoms
conversion disorder with swallowing symptoms (diagnosis)	CUI=C4065851	PREF=conversion disorder with swallowing symptoms (diagnosis)
cough occurs when swallowing liquids	CUI=C2138219	PREF=cough occurs when swallowing liquids
