daytime urinary incontinence	CUI=C0270328	PREF=daytime urinary incontinence
Dependency urinary incontinence	CUI=C0403671	PREF=Dependency urinary incontinence
Dependency urinary incontinence (finding)	CUI=C0403671	PREF=Dependency urinary incontinence (finding)
Finding of urinary incontinence occurrence	CUI=C1720030	PREF=Finding of urinary incontinence occurrence
Finding of urinary incontinence occurrence (finding)	CUI=C1720030	PREF=Finding of urinary incontinence occurrence (finding)
Fluid output.urinary incontinence	CUI=C0489513	PREF=Fluid output.urinary incontinence
frequency of urinary incontinence at night while asleep	CUI=C2187991	PREF=frequency of urinary incontinence at night while asleep
frequency of urinary incontinence at night while asleep (symptom)	CUI=C2187991	PREF=frequency of urinary incontinence at night while asleep (symptom)
frequency of urinary incontinence during day	CUI=C2187992	PREF=frequency of urinary incontinence during day
frequency of urinary incontinence during day (symptom)	CUI=C2187992	PREF=frequency of urinary incontinence during day (symptom)
Frequently incontinent (7 or more episodes of urinary incontinence, but with at least one episode of continent voiding)	CUI=C3844709	PREF=Frequently incontinent (7 or more episodes of urinary incontinence, but with at least one episode of continent voiding)
functional urinary incontinence	CUI=C0150042	PREF=functional urinary incontinence
functional urinary incontinence (diagnosis)	CUI=C0150042	PREF=functional urinary incontinence (diagnosis)
Functional urinary incontinence (finding)	CUI=C0150042	PREF=Functional urinary incontinence (finding)
Functional urinary incontinence [CCC]	CUI=C0945576	PREF=Functional urinary incontinence [CCC]
Intermittent urinary incontinence	CUI=C3472580	PREF=Intermittent urinary incontinence
Intermittent urinary incontinence (finding)	CUI=C3472580	PREF=Intermittent urinary incontinence (finding)
Mixed urinary incontinence	CUI=C0869256	PREF=Mixed urinary incontinence
Number of urinary incontinence episodes	CUI=C1720011	PREF=Number of urinary incontinence episodes
Number of urinary incontinence episodes (observable entity)	CUI=C1720011	PREF=Number of urinary incontinence episodes (observable entity)
Other specified urinary incontinence	CUI=C0477757	PREF=Other specified urinary incontinence
Postural urinary incontinence	CUI=C0403669	PREF=Postural urinary incontinence
Postural urinary incontinence (diagnosis)	CUI=C0403669	PREF=Postural urinary incontinence (diagnosis)
Postural urinary incontinence (finding)	CUI=C0403669	PREF=Postural urinary incontinence (finding)
Reflex urinary incontinence	CUI=C0150043	PREF=Reflex urinary incontinence
Reflex urinary incontinence (finding)	CUI=C0150043	PREF=Reflex urinary incontinence (finding)
Reflex urinary incontinence [CCC]	CUI=C0943836	PREF=Reflex urinary incontinence [CCC]
Reflex urinary incontinence:Find:Pt:Genitourinary system:Ord:Observed.CCC	CUI=C0943836	PREF=Reflex urinary incontinence:Find:Pt:Genitourinary system:Ord:Observed.CCC
Reflex urinary incontinence:Finding:Point in time:Genitourinary system:Ordinal:Observed.CCC	CUI=C0943836	PREF=Reflex urinary incontinence:Finding:Point in time:Genitourinary system:Ordinal:Observed.CCC
Stress urinary incontinence	CUI=C0042025	PREF=Stress urinary incontinence
Stress urinary incontinence (disorder)	CUI=C0042025	PREF=Stress urinary incontinence (disorder)
Stress urinary incontinence [CCC]	CUI=C0943853	PREF=Stress urinary incontinence [CCC]
Stress urinary incontinence:Find:Pt:Genitourinary system:Ord:Observed.CCC	CUI=C0943853	PREF=Stress urinary incontinence:Find:Pt:Genitourinary system:Ord:Observed.CCC
Stress urinary incontinence:Finding:Point in time:Genitourinary system:Ordinal:Observed.CCC	CUI=C0943853	PREF=Stress urinary incontinence:Finding:Point in time:Genitourinary system:Ordinal:Observed.CCC
Total urinary incontinence	CUI=C0150044	PREF=Total urinary incontinence
Total urinary incontinence (finding)	CUI=C0150044	PREF=Total urinary incontinence (finding)
Total urinary incontinence [CCC]	CUI=C0945590	PREF=Total urinary incontinence [CCC]
Total urinary incontinence:Find:Pt:Genitourinary system:Ord:Observed.CCC	CUI=C0945590	PREF=Total urinary incontinence:Find:Pt:Genitourinary system:Ord:Observed.CCC
Total urinary incontinence:Finding:Point in time:Genitourinary system:Ordinal:Observed.CCC	CUI=C0945590	PREF=Total urinary incontinence:Finding:Point in time:Genitourinary system:Ordinal:Observed.CCC
Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility	CUI=C2707774	PREF=Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility
Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility [CMS Assessment]	CUI=C2707773	PREF=Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility [CMS Assessment]
Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility:Find:Pt:^Patient:Ord:CMS Assessment	CUI=C2707773	PREF=Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility:Find:Pt:^Patient:Ord:CMS Assessment
Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility:Finding:Point in time:^Patient:Ordinal:CMS Assessment	CUI=C2707773	PREF=Trial of toileting program has been attempted on admission or reentry or since urinary incontinence was noted in this facility:Finding:Point in time:^Patient:Ordinal:CMS Assessment
UI - Urinary incontinence	CUI=C0042024	PREF=UI - Urinary incontinence
Unspecified urinary incontinence	CUI=C0042024	PREF=Unspecified urinary incontinence
Urge urinary incontinence	CUI=C0150045	PREF=Urge urinary incontinence
Urge urinary incontinence (finding)	CUI=C0150045	PREF=Urge urinary incontinence (finding)
Urge urinary incontinence [CCC]	CUI=C0943870	PREF=Urge urinary incontinence [CCC]
Urinary Incontinence	CUI=C0042024	PREF=Urinary Incontinence
Urinary incontinence (1 family)	CUI=C4014056	PREF=Urinary incontinence (1 family)
Urinary incontinence (adult)	CUI=C2673419	PREF=Urinary incontinence (adult)
urinary incontinence (diagnosis)	CUI=C0042024	PREF=urinary incontinence (diagnosis)
